from,to,leave,arrive,time
品川,あざみ野,00:20,01:32,1時間12分
品川,いずみ中央,00:04,00:58,54分
品川,いずみ野,00:04,00:55,51分
品川,おもちゃのまち,21:32,23:37,2時間5分
品川,おゆみ野,22:45,23:57,1時間12分
品川,お台場海浜公園,00:14,00:43,29分
品川,お花茶屋,23:53,00:37,44分
品川,かしわ台,00:04,01:05,1時間1分
品川,くぬぎ山,23:47,00:56,1時間9分
品川,こどもの国,23:02,00:13,1時間11分
品川,さいたま新都心,00:11,01:14,1時間3分
品川,さがみ野,00:04,01:03,59分
品川,すずかけ台,23:56,01:05,1時間9分
品川,せんげん台,23:53,00:58,1時間5分
品川,たまプラーザ,00:20,01:29,1時間9分
品川,ちはら台,22:45,00:00,1時間15分
品川,つきのわ,22:25,23:51,1時間26分
品川,つきみ野,23:56,01:09,1時間13分
品川,つくし野,23:56,01:03,1時間7分
品川,つくば,23:56,01:40,1時間44分
品川,つつじヶ丘,00:03,00:56,53分
品川,とうきょうスカイツリー,00:01,00:42,41分
品川,ときわ台,00:10,00:53,43分
品川,はるひ野,00:10,01:13,1時間3分
品川,ひぐち,20:44,22:47,2時間3分
品川,ひたち野うしく,23:16,00:37,1時間21分
品川,ひばりヶ丘,00:03,01:02,59分
品川,ひろせ野鳥の森,21:42,23:06,1時間24分
品川,ふじみ野,00:03,01:13,1時間10分
品川,みずほ台,00:03,01:09,1時間6分
品川,みつわ台,22:56,00:11,1時間15分
品川,みどりの,23:16,00:34,1時間18分
品川,みどり台,23:07,00:15,1時間8分
品川,みなとみらい,00:10,00:51,41分
品川,みのり台,23:47,00:47,1時間0分
品川,みらい平,23:16,00:30,1時間14分
品川,めじろ台,23:39,00:49,1時間10分
品川,ゆめが丘,00:04,01:00,56分
品川,ゆめみ野,23:00,00:24,1時間24分
品川,ジヤトコ前,20:34,22:29,1時間55分品川,スポーツセンター,23:07,00:15,1時間8分
品川,センター北,00:20,01:49,1時間29分
品川,センター南,00:04,00:53,49分
品川,ソシオ流通センター,22:02,23:21,1時間19分
品川,テレコムセンター,00:14,00:48,34分
品川,ベイサイド･ステーション,23:08,23:59,51分
品川,モノレール浜松町,00:46,00:51,5分
品川,ユーカリが丘,23:43,00:51,1時間8分
品川,リゾートゲートウェイ･ステーション,00:04,00:55,51分
品川,一ノ割,23:53,01:02,1時間9分
品川,一之江,23:53,00:31,38分
品川,一本松,22:25,23:56,1時間31分
品川,一橋学園,23:15,00:25,1時間10分
品川,七井,19:38,22:15,2時間37分
品川,七光台,23:35,01:04,1時間29分
品川,七里,23:10,00:25,1時間15分
品川,七里ヶ浜,22:43,23:47,1時間4分
品川,万博記念公園,20:57,00:11,3時間14分
品川,万座・鹿沢口,19:06,22:08,3時間2分
品川,万願寺,23:02,00:11,1時間9分
品川,三つ峠,21:30,23:41,2時間11分
品川,三ツ境,00:04,00:50,46分
品川,三ツ沢上町,00:04,00:36,32分
品川,三ツ沢下町,00:04,00:34,30分
品川,三ノ輪,23:56,00:30,34分
品川,三ノ輪橋,23:56,00:37,41分
品川,三俣,20:29,23:08,2時間39分
品川,三咲,23:32,00:47,1時間15分
品川,三妻,22:06,23:45,1時間39分
品川,三峰口,19:10,22:04,2時間54分
品川,三島,22:54,23:39,45分
品川,三島二日町,22:18,23:27,1時間9分
品川,三島広小路,22:18,23:23,1時間5分
品川,三島田町,22:18,23:25,1時間7分
品川,三崎口,23:00,00:08,1時間8分
品川,三枚橋,21:04,23:18,2時間14分
品川,三河島,00:26,00:56,30分
品川,三浦海岸,23:32,00:40,1時間8分
品川,三田,00:46,00:58,12分
品川,三越前,00:11,00:32,21分
品川,三軒茶屋,00:38,01:23,45分
品川,三郷,23:47,01:04,1時間17分
品川,三郷中央,23:47,00:40,53分
品川,三門,22:28,00:28,2時間0分
品川,三鷹,00:38,01:21,43分
品川,三鷹台,00:10,00:59,49分
品川,上中里,00:28,00:58,30分
品川,上井草,00:10,01:08,58分
